type,gameMode,crowns1,startingTrophies2,crowns2,deck1,deck2,avg_cards_level_1,avg_cards_level_2,avg_cards_level_diff,crowns_won,2_won
PvP,"{'id': 72000201, 'name': 'Ladder_CrownRush'}",0,5807.0,3,"['Arrows', 'Bomber', 'Electro Wizard', 'Skeleton Army', 'Firecracker', 'Hog Rider', 'Valkyrie', 'Inferno Dragon']","['Magic Archer', 'Mega Knight', 'Electro Wizard', 'Goblin Barrel', 'The Log', 'Witch', 'Firecracker', 'Valkyrie']",11.75,12.875,1.125,3,1
PvP,"{'id': 72000201, 'name': 'Ladder_CrownRush'}",0,5857.0,2,"['Arrows', 'Bomber', 'Electro Wizard', 'Skeleton Army', 'Firecracker', 'Hog Rider', 'Valkyrie', 'Inferno Dragon']","['Mini P.E.K.K.A', 'Wall Breakers', 'Valkyrie', 'Goblin Barrel', 'Wizard', 'Dark Prince', 'Skeleton Barrel', 'The Log']",11.75,12.625,0.875,2,1
PvP,"{'id': 72000201, 'name': 'Ladder_CrownRush'}",3,5830.0,0,"['Arrows', 'Bomber', 'Electro Wizard', 'Skeleton Army', 'Firecracker', 'Hog Rider', 'Valkyrie', 'Inferno Dragon']","['P.E.K.K.A', 'Sparky', 'Bandit', 'Bomber', 'Electro Wizard', 'Mirror', 'Executioner', 'Zap']",11.75,12.75,1.0,-3,0
PvP,"{'id': 72000201, 'name': 'Ladder_CrownRush'}",3,5778.0,0,"['Arrows', 'Bomber', 'Electro Wizard', 'Skeleton Army', 'Firecracker', 'Hog Rider', 'Valkyrie', 'Inferno Dragon']","['Golem', 'Elite Barbarians', 'Balloon', 'Goblin Giant', 'Three Musketeers', 'Skeleton Army', 'Mega Knight', 'P.E.K.K.A']",11.75,9.75,-2.0,-3,0
PvP,"{'id': 72000201, 'name': 'Ladder_CrownRush'}",2,5731.0,1,"['Arrows', 'Bomber', 'Electro Wizard', 'Skeleton Army', 'Firecracker', 'Hog Rider', 'Valkyrie', 'Inferno Dragon']","['Goblin Giant', 'Ram Rider', 'The Log', 'Arrows', 'Mega Knight', 'Fireball', 'Firecracker', 'Bats']",11.75,12.75,1.0,-1,0
PvP,"{'id': 72000201, 'name': 'Ladder_CrownRush'}",0,5747.0,2,"['Tornado', 'Executioner', 'Clone', 'Skeleton Barrel', 'Goblin Drill', 'Sparky', 'Bowler', 'Firecracker']","['Dart Goblin', 'The Log', 'Cannon', 'Golden Knight', 'Skeleton Army', 'Fireball', 'Giant Skeleton', 'Goblin Barrel']",9.875,12.5,2.625,2,1
PvP,"{'id': 72000201, 'name': 'Ladder_CrownRush'}",1,5732.0,0,"['Arrows', 'Bomber', 'Electro Wizard', 'Skeleton Army', 'Firecracker', 'Hog Rider', 'Valkyrie', 'Inferno Dragon']","['Skeleton Army', 'Archers', 'Minions', 'Goblin Barrel', 'Fireball', 'Prince', 'Rage', 'Wizard']",11.75,14.0,2.25,-1,0
PvP,"{'id': 72000201, 'name': 'Ladder_CrownRush'}",3,5709.0,0,"['Arrows', 'Bomber', 'Electro Wizard', 'Skeleton Army', 'Firecracker', 'Hog Rider', 'Valkyrie', 'Inferno Dragon']","['Wizard', 'Freeze', 'Rocket', 'Elite Barbarians', 'Firecracker', 'P.E.K.K.A', 'Tesla', 'Furnace']",11.75,13.75,2.0,-3,0
PvP,"{'id': 72000006, 'name': 'Ladder'}",0,5731.0,1,"['Arrows', 'Bomber', 'Electro Wizard', 'Skeleton Army', 'Firecracker', 'Hog Rider', 'Valkyrie', 'Inferno Dragon']","['Rocket', 'Zap', 'Witch', 'Bandit', 'Valkyrie', 'Prince', 'Knight', 'Hunter']",11.75,14.0,2.25,1,1
PvP,"{'id': 72000006, 'name': 'Ladder'}",3,5709.0,0,"['Arrows', 'Bomber', 'Electro Wizard', 'Skeleton Army', 'Firecracker', 'Hog Rider', 'Valkyrie', 'Inferno Dragon']","['Mega Knight', 'Witch', 'Firecracker', 'Musketeer', 'Night Witch', 'Valkyrie', 'Rage', 'Skeleton Army']",11.75,11.5,-0.25,-3,0
PvP,"{'id': 72000006, 'name': 'Ladder'}",0,5708.0,3,"['Arrows', 'Bomber', 'Electro Wizard', 'Skeleton Army', 'Firecracker', 'Hog Rider', 'Valkyrie', 'Inferno Dragon']","['Elite Barbarians', 'Zap', 'Mirror', 'Electro Wizard', 'Bandit', 'Inferno Dragon', 'Mini P.E.K.K.A', 'Rage']",11.75,11.625,-0.125,3,1
PvP,"{'id': 72000006, 'name': 'Ladder'}",1,5702.0,0,"['Arrows', 'Bomber', 'Electro Wizard', 'Skeleton Army', 'Firecracker', 'Hog Rider', 'Valkyrie', 'Inferno Dragon']","['Bats', 'Princess', 'Archers', 'Ice Wizard', 'Firecracker', 'Spear Goblins', 'Valkyrie', 'Tombstone']",11.75,11.125,-0.625,-1,0
PvP,"{'id': 72000006, 'name': 'Ladder'}",0,5749.0,1,"['Arrows', 'Bomber', 'Electro Wizard', 'Skeleton Army', 'Firecracker', 'Hog Rider', 'Valkyrie', 'Inferno Dragon']","['Executioner', 'Electro Wizard', 'Clone', 'Witch', 'Firecracker', 'Hog Rider', 'Wizard', 'Elite Barbarians']",11.75,12.875,1.125,1,1
PvP,"{'id': 72000201, 'name': 'Ladder_CrownRush'}",1,5935.0,0,"['Barbarians', 'Freeze', 'Baby Dragon', 'Valkyrie', 'Mega Knight', 'Balloon', 'Spear Goblins', 'Rage']","['Witch', 'Skeleton Army', 'Arrows', 'Firecracker', 'Mega Knight', 'Hog Rider', 'Valkyrie', 'Cannon']",13.125,12.875,-0.25,-1,0
PvP,"{'id': 72000201, 'name': 'Ladder_CrownRush'}",1,5877.0,0,"['Barbarians', 'Freeze', 'Baby Dragon', 'Valkyrie', 'Mega Knight', 'Balloon', 'Spear Goblins', 'Rage']","['Ice Wizard', 'X-Bow', 'The Log', 'Tornado', 'Rocket', 'Valkyrie', 'Tesla', 'Skeletons']",13.125,13.5,0.375,-1,0
PvP,"{'id': 72000006, 'name': 'Ladder'}",1,5909.0,3,"['Barbarians', 'Freeze', 'Baby Dragon', 'Valkyrie', 'Mega Knight', 'Balloon', 'Spear Goblins', 'Rage']","['Skeletons', 'Fireball', 'Zap', 'Ice Spirit', 'Inferno Dragon', 'Mega Knight', 'Goblin Gang', 'Ram Rider']",13.125,13.25,0.125,2,1
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",2,5857.0,0,"['Barbarians', 'Freeze', 'Baby Dragon', 'Valkyrie', 'Mega Knight', 'Balloon', 'Spear Goblins', 'Rage']","['Firecracker', 'Fireball', 'Wizard', 'Witch', 'Inferno Tower', 'Valkyrie', 'Mega Knight', 'Balloon']",13.0,13.625,0.625,-2,0
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",0,6572.0,1,"['X-Bow', 'Knight', 'Archers', 'Ice Spirit', 'Skeletons', 'Tesla', 'The Log', 'Fireball']","['Giant', 'Executioner', 'Sparky', 'Miner', 'Bats', 'The Log', 'Goblin Gang', 'Knight']",13.125,13.875,0.75,1,1
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",1,6514.0,0,"['X-Bow', 'Knight', 'Archers', 'Ice Spirit', 'Skeletons', 'Tesla', 'The Log', 'Fireball']","['Inferno Dragon', 'Executioner', 'Royal Ghost', 'Minion Horde', 'Mini P.E.K.K.A', 'Prince', 'Lumberjack', 'Magic Archer']",13.125,14.0,0.875,-1,0
PvP,"{'id': 72000006, 'name': 'Ladder'}",0,6528.0,1,"['Prince', 'Witch', 'Rage', 'Giant', 'Wizard', 'Zap', 'Goblin Gang', 'Barbarians']","['Bats', 'Mega Knight', 'Royal Giant', 'Skeleton Army', 'Wizard', 'Zap', 'Valkyrie', 'Witch']",14.0,14.0,0.0,1,1
PvP,"{'id': 72000006, 'name': 'Ladder'}",1,6590.0,2,"['Prince', 'Witch', 'Rage', 'Giant', 'Wizard', 'Zap', 'Goblin Gang', 'Barbarians']","['Goblins', 'The Log', 'Rocket', 'Princess', 'Goblin Barrel', 'Cannon', 'Mighty Miner', 'Ice Spirit']",14.0,13.625,-0.375,1,1
PvP,"{'id': 72000006, 'name': 'Ladder'}",0,6607.0,1,"['Prince', 'Witch', 'Rage', 'Giant', 'Wizard', 'Zap', 'Goblin Gang', 'Barbarians']","['Minion Horde', 'Witch', 'Furnace', 'Skeleton Army', 'X-Bow', 'Arrows', 'Mega Knight', 'Mini P.E.K.K.A']",14.0,14.0,0.0,1,1
PvP,"{'id': 72000006, 'name': 'Ladder'}",1,6545.0,0,"['Prince', 'Witch', 'Rage', 'Giant', 'Wizard', 'Zap', 'Goblin Gang', 'Barbarians']","['Bomber', 'Bats', 'Mega Knight', 'Knight', 'Wizard', 'Hog Rider', 'Valkyrie', 'Arrows']",14.0,14.0,0.0,-1,0
PvP,"{'id': 72000006, 'name': 'Ladder'}",0,6637.0,1,"['X-Bow', 'Knight', 'Archers', 'Ice Spirit', 'Skeletons', 'Tesla', 'The Log', 'Fireball']","['Fireball', 'Furnace', 'Arrows', 'Mega Knight', 'Valkyrie', 'Witch', 'Inferno Tower', 'Goblin Hut']",13.125,13.5,0.375,1,1
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",0,6617.0,3,"['X-Bow', 'Knight', 'Archers', 'Ice Spirit', 'Skeletons', 'Tesla', 'The Log', 'Fireball']","['Mirror', 'Giant Skeleton', 'Goblin Barrel', 'Arrows', 'Valkyrie', 'Prince', 'Wizard', 'Baby Dragon']",13.125,14.0,0.875,3,1
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",0,6677.0,3,"['Prince', 'Witch', 'Rage', 'Giant', 'Wizard', 'Zap', 'Goblin Gang', 'Barbarians']","['Elite Barbarians', 'Hog Rider', 'Bowler', 'Furnace', 'Electro Wizard', 'Executioner', 'Zap', 'Mirror']",14.0,14.0,0.0,3,1
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",1,6648.0,0,"['Prince', 'Witch', 'Rage', 'Giant', 'Wizard', 'Zap', 'Goblin Gang', 'Barbarians']","['Mega Minion', 'Goblin Drill', 'Bomber', 'Barbarian Barrel', 'Electro Wizard', 'Wizard', 'Golem', 'Goblin Gang']",14.0,14.0,0.0,-1,0
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",3,6594.0,2,"['Prince', 'Witch', 'Rage', 'Giant', 'Wizard', 'Zap', 'Goblin Gang', 'Barbarians']","['Spear Goblins', 'Arrows', 'Minions', 'Rage', 'Night Witch', 'Fireball', 'Giant', 'Witch']",14.0,14.0,0.0,-1,0
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",0,6655.0,1,"['Prince', 'Witch', 'Rage', 'Giant', 'Wizard', 'Zap', 'Goblin Gang', 'Barbarians']","['Giant Skeleton', 'Clone', 'Tombstone', 'Skeleton Barrel', 'Flying Machine', 'Dart Goblin', 'Giant Snowball', 'Ice Spirit']",14.0,14.0,0.0,1,1
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",2,5749.0,1,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Giant Skeleton', 'Witch', 'Skeleton Barrel', 'Mirror', 'Bomber', 'Tombstone', 'Earthquake', 'Zap']",12.875,12.875,0.0,-1,0
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",2,5706.0,1,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Skeleton Army', 'Firecracker', 'Miner', 'Zap', 'Electro Wizard', 'Tesla', 'Lightning', 'P.E.K.K.A']",12.75,12.375,-0.375,-1,0
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",3,5687.0,0,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Wizard', 'Archers', 'Electro Wizard', 'The Log', 'Witch', 'Lightning', 'Musketeer', 'Valkyrie']",12.75,12.875,0.125,-3,0
PvP,"{'id': 72000044, 'name': 'Ladder_GoldRush'}",1,5712.0,2,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Baby Dragon', 'Skeleton Army', 'Wizard', 'Valkyrie', 'Goblin Barrel', 'Hog Rider', 'Magic Archer', 'Elixir Golem']",12.75,14.0,1.25,1,1
PvP,"{'id': 72000006, 'name': 'Ladder'}",3,5679.0,1,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Rage', 'Mega Knight', 'Valkyrie', 'Arrows', 'Inferno Dragon', 'Executioner', 'Mini P.E.K.K.A', 'Elite Barbarians']",12.75,12.375,-0.375,-2,0
