outcome,deck1,deck2,level_1,level_2,hitpoint_1,elixir_1,hitpoint_2,elixir_2
True,"['Barbarians', 'Freeze', 'Baby Dragon', 'Valkyrie', 'Mega Knight', 'Balloon', 'Spear Goblins', 'Rage']","['Ice Wizard', 'X-Bow', 'The Log', 'Tornado', 'Rocket', 'Valkyrie', 'Tesla', 'Skeletons']","[14, 7, 8, 12, 5, 8, 14, 7]","[5, 9, 6, 9, 12, 12, 14, 11]","[888.0, 79.0, 968.0, 2190.0, 0.0, 1270.0, 176.0, 0.0]",33.0,"[0.0, 1383.0, 0.0, 0.0, 0.0, 2190.0, 1525.0, 81.0]",29.0
False,"['Barbarians', 'Freeze', 'Baby Dragon', 'Valkyrie', 'Mega Knight', 'Balloon', 'Spear Goblins', 'Rage']","['Skeletons', 'Fireball', 'Zap', 'Ice Spirit', 'Inferno Dragon', 'Mega Knight', 'Goblin Gang', 'Ram Rider']","[14, 7, 8, 12, 5, 8, 14, 7]","[10, 12, 14, 12, 6, 6, 14, 6]","[888.0, 79.0, 968.0, 2190.0, 0.0, 1270.0, 176.0, 0.0]",33.0,"[74.0, 757.0, 0.0, 252.0, 0.0, 0.0, 384.0, 0.0]",27.0
False,"['X-Bow', 'Knight', 'Archers', 'Ice Spirit', 'Skeletons', 'Tesla', 'The Log', 'Fireball']","['Giant', 'Executioner', 'Sparky', 'Miner', 'Bats', 'The Log', 'Goblin Gang', 'Knight']","[9, 13, 13, 13, 13, 13, 5, 11]","[12, 9, 6, 6, 14, 5, 14, 14]","[1383.0, 2014.0, 367.0, 278.0, 98.0, 1390.0, 0.0, 689.0]",24.0,"[4336.0, 960.0, 0.0, 0.0, 108.0, 0.0, 384.0, 2210.0]",29.0
True,"['X-Bow', 'Knight', 'Archers', 'Ice Spirit', 'Skeletons', 'Tesla', 'The Log', 'Fireball']","['Inferno Dragon', 'Executioner', 'Royal Ghost', 'Minion Horde', 'Mini P.E.K.K.A', 'Prince', 'Lumberjack', 'Magic Archer']","[9, 13, 13, 13, 13, 13, 5, 11]","[6, 9, 6, 14, 12, 9, 6, 6]","[1383.0, 2014.0, 367.0, 278.0, 98.0, 1390.0, 0.0, 689.0]",24.0,"[0.0, 960.0, 0.0, 305.0, 1495.0, 1615.0, 0.0, 0.0]",34.0
False,"['Prince', 'Witch', 'Rage', 'Giant', 'Wizard', 'Zap', 'Goblin Gang', 'Barbarians']","['Bats', 'Mega Knight', 'Royal Giant', 'Skeleton Army', 'Wizard', 'Zap', 'Valkyrie', 'Witch']","[9, 9, 9, 12, 12, 14, 14, 14]","[14, 6, 14, 9, 12, 14, 12, 9]","[1615.0, 696.0, 0.0, 4336.0, 792.0, 0.0, 384.0, 888.0]",32.0,"[108.0, 0.0, 4068.0, 67.0, 792.0, 0.0, 2190.0, 696.0]",34.0
False,"['Prince', 'Witch', 'Rage', 'Giant', 'Wizard', 'Zap', 'Goblin Gang', 'Barbarians']","['Minion Horde', 'Witch', 'Furnace', 'Skeleton Army', 'X-Bow', 'Arrows', 'Mega Knight', 'Mini P.E.K.K.A']","[9, 9, 9, 12, 12, 14, 14, 14]","[14, 9, 12, 9, 9, 14, 6, 12]","[1615.0, 696.0, 0.0, 4336.0, 792.0, 0.0, 384.0, 888.0]",32.0,"[305.0, 696.0, 1328.0, 67.0, 1383.0, 0.0, 0.0, 1495.0]",37.0
True,"['Prince', 'Witch', 'Rage', 'Giant', 'Wizard', 'Zap', 'Goblin Gang', 'Barbarians']","['Bomber', 'Bats', 'Mega Knight', 'Knight', 'Wizard', 'Hog Rider', 'Valkyrie', 'Arrows']","[9, 9, 9, 12, 12, 14, 14, 14]","[14, 14, 6, 14, 12, 12, 12, 14]","[1615.0, 696.0, 0.0, 4336.0, 792.0, 0.0, 384.0, 888.0]",32.0,"[637.0, 108.0, 0.0, 2210.0, 792.0, 1864.0, 2190.0, 0.0]",31.0
False,"['X-Bow', 'Knight', 'Archers', 'Ice Spirit', 'Skeletons', 'Tesla', 'The Log', 'Fireball']","['Fireball', 'Furnace', 'Arrows', 'Mega Knight', 'Valkyrie', 'Witch', 'Inferno Tower', 'Goblin Hut']","[9, 13, 13, 13, 13, 13, 5, 11]","[12, 12, 14, 6, 12, 7, 10, 12]","[1383.0, 2014.0, 367.0, 278.0, 98.0, 1390.0, 0.0, 689.0]",24.0,"[757.0, 1328.0, 0.0, 0.0, 2190.0, 576.0, 1592.0, 1712.0]",37.0
False,"['X-Bow', 'Knight', 'Archers', 'Ice Spirit', 'Skeletons', 'Tesla', 'The Log', 'Fireball']","['Mirror', 'Giant Skeleton', 'Goblin Barrel', 'Arrows', 'Valkyrie', 'Prince', 'Wizard', 'Baby Dragon']","[9, 13, 13, 13, 13, 13, 5, 11]","[9, 9, 9, 14, 12, 9, 12, 9]","[1383.0, 2014.0, 367.0, 278.0, 98.0, 1390.0, 0.0, 689.0]",24.0,"[0.0, 2793.0, 167.0, 0.0, 2190.0, 1615.0, 792.0, 1064.0]",30.0
False,"['Prince', 'Witch', 'Rage', 'Giant', 'Wizard', 'Zap', 'Goblin Gang', 'Barbarians']","['Elite Barbarians', 'Hog Rider', 'Bowler', 'Furnace', 'Electro Wizard', 'Executioner', 'Zap', 'Mirror']","[9, 9, 9, 12, 12, 14, 14, 14]","[14, 12, 9, 12, 6, 9, 14, 9]","[1615.0, 696.0, 0.0, 4336.0, 792.0, 0.0, 384.0, 888.0]",32.0,"[1552.0, 1864.0, 1596.0, 1328.0, 0.0, 960.0, 0.0, 0.0]",30.0
True,"['Prince', 'Witch', 'Rage', 'Giant', 'Wizard', 'Zap', 'Goblin Gang', 'Barbarians']","['Spear Goblins', 'Arrows', 'Minions', 'Rage', 'Night Witch', 'Fireball', 'Giant', 'Witch']","[9, 9, 9, 12, 12, 14, 14, 14]","[14, 14, 14, 9, 6, 12, 12, 9]","[1615.0, 696.0, 0.0, 4336.0, 792.0, 0.0, 384.0, 888.0]",32.0,"[176.0, 0.0, 305.0, 0.0, 0.0, 757.0, 4336.0, 696.0]",28.0
False,"['Prince', 'Witch', 'Rage', 'Giant', 'Wizard', 'Zap', 'Goblin Gang', 'Barbarians']","['Giant Skeleton', 'Clone', 'Tombstone', 'Skeleton Barrel', 'Flying Machine', 'Dart Goblin', 'Giant Snowball', 'Ice Spirit']","[9, 9, 9, 12, 12, 14, 14, 14]","[9, 9, 12, 14, 12, 12, 14, 14]","[1615.0, 696.0, 0.0, 4336.0, 792.0, 0.0, 384.0, 888.0]",32.0,"[2793.0, nan, 558.0, 1017.0, 675.0, 286.0, 0.0, 305.0]",25.0
True,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Giant Skeleton', 'Witch', 'Skeleton Barrel', 'Mirror', 'Bomber', 'Tombstone', 'Earthquake', 'Zap']","[9, 6, 7, 8, 4, 12, 9, 5]","[9, 9, 13, 7, 13, 10, 10, 13]","[4256.0, 72.0, 139.0, 968.0, 0.0, 792.0, 696.0, 0.0]",37.0,"[2793.0, 696.0, 927.0, 0.0, 580.0, 462.0, 201.0, 0.0]",25.0
True,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Wizard', 'Archers', 'Electro Wizard', 'The Log', 'Witch', 'Lightning', 'Musketeer', 'Valkyrie']","[9, 6, 7, 8, 3, 12, 9, 5]","[10, 14, 5, 4, 9, 8, 10, 11]","[4256.0, 72.0, 139.0, 968.0, 0.0, 792.0, 696.0, 0.0]",37.0,"[656.0, 403.0, 0.0, 0.0, 696.0, 0.0, 656.0, 1992.0]",33.0
False,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Baby Dragon', 'Skeleton Army', 'Wizard', 'Valkyrie', 'Goblin Barrel', 'Hog Rider', 'Magic Archer', 'Elixir Golem']","[9, 6, 7, 8, 3, 12, 9, 5]","[9, 9, 12, 12, 9, 12, 6, 12]","[4256.0, 72.0, 139.0, 968.0, 0.0, 792.0, 696.0, 0.0]",37.0,"[1064.0, 67.0, 792.0, 2190.0, 167.0, 1864.0, 0.0, 1864.0]",30.0
True,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Rage', 'Mega Knight', 'Valkyrie', 'Arrows', 'Inferno Dragon', 'Executioner', 'Mini P.E.K.K.A', 'Elite Barbarians']","[9, 6, 7, 8, 3, 12, 9, 5]","[8, 3, 10, 12, 3, 9, 10, 14]","[4256.0, 72.0, 139.0, 968.0, 0.0, 792.0, 696.0, 0.0]",37.0,"[0.0, 0.0, 1814.0, 0.0, 0.0, 960.0, 1239.0, 1552.0]",35.0
False,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Mega Knight', 'Wall Breakers', 'Cannon', 'The Log', 'Witch', 'Hog Rider', 'Minions', 'Fireball']","[9, 6, 7, 8, 3, 12, 9, 5]","[4, 7, 14, 5, 8, 11, 13, 11]","[4256.0, 72.0, 139.0, 968.0, 0.0, 792.0, 696.0, 0.0]",37.0,"[0.0, 227.0, 1186.0, 0.0, 634.0, 1696.0, 278.0, 689.0]",30.0
True,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Lava Hound', 'Balloon', 'Inferno Dragon', 'Minions', 'Skeleton Army', 'Fireball', 'Knight', 'Arrows']","[9, 6, 7, 8, 3, 12, 9, 5]","[4, 7, 3, 12, 7, 10, 13, 12]","[4256.0, 72.0, 139.0, 968.0, 0.0, 792.0, 696.0, 0.0]",37.0,"[0.0, 1155.0, 0.0, 252.0, 56.0, 627.0, 2014.0, 0.0]",32.0
True,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Mirror', 'Valkyrie', 'Mini P.E.K.K.A', 'Skeleton Army', 'Wizard', 'Bats', 'Freeze', 'Goblin Barrel']","[9, 6, 7, 8, 3, 12, 9, 5]","[7, 10, 12, 8, 11, 13, 7, 7]","[4256.0, 72.0, 139.0, 968.0, 0.0, 792.0, 696.0, 0.0]",37.0,"[0.0, 1814.0, 1495.0, 61.0, 720.0, 98.0, 79.0, 139.0]",25.0
False,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Royal Recruits', 'Minion Horde', 'Royal Hogs', 'Elixir Golem', 'Mini P.E.K.K.A', 'Witch', 'Rage', 'Balloon']","[9, 6, 7, 8, 3, 12, 9, 5]","[14, 13, 11, 10, 9, 8, 7, 7]","[4256.0, 72.0, 139.0, 968.0, 0.0, 792.0, 696.0, 0.0]",37.0,"[318.0, 278.0, 837.0, 1544.0, 1129.0, 634.0, 0.0, 1155.0]",36.0
True,"['Golem', 'Freeze', 'Goblin Barrel', 'Baby Dragon', 'Lumberjack', 'Wizard', 'Witch', 'Inferno Dragon']","['Baby Dragon', 'Rocket', 'Goblin Cage', 'Skeleton Army', 'Hog Rider', 'Goblin Barrel', 'Musketeer', 'Mini P.E.K.K.A']","[9, 6, 7, 8, 3, 12, 9, 4]","[9, 8, 9, 9, 11, 9, 11, 12]","[4256.0, 72.0, 139.0, 968.0, 0.0, 792.0, 696.0, 0.0]",37.0,"[1064.0, 0.0, 800.0, 67.0, 1696.0, 167.0, 720.0, 1495.0]",32.0
True,"['Balloon', 'Witch', 'Fireball', 'Wizard', 'Prince', 'Zap', 'Skeleton Army', 'Lumberjack']","['P.E.K.K.A', 'Electro Wizard', 'Electro Dragon', 'Poison', 'Minions', 'Knight', 'Miner', 'The Log']","[9, 9, 12, 12, 9, 14, 9, 6]","[9, 6, 8, 7, 14, 14, 4, 4]","[1396.0, 696.0, 757.0, 792.0, 1615.0, 0.0, 67.0, 0.0]",33.0,"[3125.0, 0.0, 718.0, 496.0, 305.0, 2210.0, 0.0, 0.0]",31.0
